text,class
পরিমনি হলো চামড়ার দোকান ,1
এই আপনি কি সত্যি পরিমনি নাকি হিজলা কোনটা?,1
তোমার প্রেমে অন্ধ আমি তোমার ভালোবাসায়,0
আল্লাহ্ লম্বা চুল দিয়েছিলো বলেই লজ্জা স্থানটুকু ঝাঁকতে পেরেছে,1
এমন পিক দেখলে ছেলেরা  তোমায় ধর্ষণ করার চেষ্টা করবে এটাও স্বাভাবিক।,1
অনেক মেম্বার আপনার,0
দেহ ব্যবসায়ী  পরিমনি ,1
দারুন তুমি পরি মনি,0
আপনার নিচের অবস্থা ত বেহাল দশা ।। ইলিয়াস ভাই কৈইছে,1
"ওহে সুন্দর,বন্ধু হতে মন লাগে রুপ লাগে না।",0
তুমি এত সুন্দর কেন?,1
পারলে ন্যাংটা হয়ে থাক,1
তুই একটা ভেসা মাগি,1
"ইয়া আল্লাহ,যাদের অন্তরে দুঃখ কষ্টের পাথর জমে আছে,
তাদের অন্তরকে ধৈর্য দিয়ে প্রশান্তি করে দাও",0
"বন্ড সিরিজ এর মুভি মানেই অন্য এক আবেদন, সব কটিই দেখেছি, এই সিরিজটা দেখার জন্য প্রায় দের বছর অপেক্ষা করছি, একশন, এডভেঞ্চার, সাসপেন্স, রোমান্স কি নেই! সব চেয়ে আসল কথা হচ্ছে, এই ফ্লিমের প্রতিটি চরিত্র এত সুন্দর ভাবে ফুটিয়ে তোলা হয়, যা সত্যিই চমৎকার।",0
অপেক্ষায় আছি ,0
এই পেইজে বিখ্যাত কবি-সাহিত্যিকের পঙক্তি নিয়মিত পোস্ট করা হয়,0
তিনি কি আফগানিস্তানের সাথে বাংলাদেশের বন্ধুত্ব করাবেন?,0
তোরে খুব ভালো মনে করতাম তুই আবার নমোকে নিয়ে লাইভে আসছিস নির্লজ্জ কোথাকার দুনিয়া থেকে একবার মরে দেখ তোরে কবরে গেলে সৃজিতকে দেবে তোর সাথে করে ফাজিল একটা,1
"প্রথম আলো কি সব বাজে মহিলাকে নিয়ে প্রচারণা করেছেন,,,,, রাস্তার মহিলার সম্মান আছে কিন্তু এই মহিলার নাই",1
"চেহারায়তো মোটামুটি একটা গাজাখোরী চাপ পড়ছে, বোঝা যাচ্ছে বুইড়ার সাথে তেমন সুখে নেই, চেহারায় বিষন্নতা",1
প্রিয় সাংবাদিক ভাই আপনাদের কি অন্য কোনও কাজ নেই? বাল ছাল দিয়ে টাইমলাইনে বিরক্তি লাগে,1
জয় পদ্মা সেতু,0
বিসিবির পক্ষ থেকে শোক প্রকাশ করছি,0
এইগুলি তুচ্ছ ঘটনা না।,0
"সেই ২০২০ সালের মার্চ থেকে বাসায় বন্দি হয়ে আছি,কোথাও যাওয়া হয়না",0
স্কুল কলেজ নিয়ে যেন কাহারো কোনো মাথা বেথা নেই,0
"হে আল্লাহ! বাচ্চারা তো ফুলের মত, তাদের দিয়ে তুমি আমাদের পরীক্ষা নিও না। তুমি তাদের রক্ষা কর।",0
হে আল্লাহ এই বাচ্চাগুলোকে সুস্থতা হায়াত দান করুন। দোয়া করি তারা যেনো তাদের সুস্থ জীবনে ফিরে আসে।,0
"গ্রামীণফোন, রবি, এয়ারটেল এবং বাংলালিংক এ আকর্ষণীয় সব অফার সবচেয়ে কম মূল্যে পেতে আমাদের গ্রুপের সাথেই থাকুন,",0
সেক্সী পিক খুব ভাল লাগছে,1
আপু তোমার কি কাপড়ের অভাব।,1
মাগি আর কত নষ্টামি করবে,1
